original_title,popularity,vote_average,vote_count,Comedy,TV Movie,Family,Science Fiction,Drama,Romance,Action,War,Mystery,Music,Adventure,Crime,Horror,Animation,History,Fantasy,Western,Thriller,Running time,Budget,Box Office,Actors Box Office %,Director Box Office %,Earnings,Oscar and Golden Globes nominations,Oscar and Golden Globes awards,IMDb score,ROI,successo
The Matrix,569.07,8.216,24933,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,136,63000000,465000000,0.6667000000000001,0.5,402000000,6,4,8.7,6.380952380952381,1
Gladiator,95.813,8.216,17864,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,171,103000000,460000000,0.75,0.3529,357000000,12,5,8.5,3.466019417475728,1
Saving Private Ryan,91.463,8.214,15330,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,169,70000000,482000000,0.9167000000000001,0.846,412000000,11,5,8.6,5.885714285714286,1
The Help,145.008,8.209,7969,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,146,25000000,217000000,1.0,0.5,192000000,8,4,8.1,7.68,1
The Prestige,233.48,8.203,15500,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,130,40000000,109000000,1.0,1.0,69000000,11,3,8.5,1.725,1
Shutter Island,121.668,8.202,23327,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,138,80000000,294000000,0.5,0.44439999999999996,214000000,4,0,8.1,2.675,1
The Usual Suspects,45.113,8.186,10073,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,106,6000000,60000000,0.5317000000000001,0.75,54000000,4,2,8.6,9.0,1
Memento,45.675,8.183,14414,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,113,9000000,40000000,0.6944,1.0,31000000,5,2,8.5,3.4444444444444446,1
The Kid,26.256,8.18,2005,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,104,60000000,77000000,0.8332999999999999,0.4285,17000000,0,0,6.1,0.2833333333333333,0
Django Unchained,215.121,8.179,25611,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,165,100000000,425000000,0.6667000000000001,1.0,325000000,5,2,8.5,3.25,1
Scarface,432.739,8.169,11385,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,142,25000000,66000000,0.77,0.5,41000000,0,0,8.3,1.64,1
The Departed,265.782,8.167,14457,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,151,90000000,291000000,0.5,0.44439999999999996,201000000,9,4,8.5,2.2333333333333334,1
Singin' in the Rain,35.303,8.161,3018,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,103,2540800,54000000,1.0,1.0,51459200,2,0,8.3,20.25314861460957,1
Casablanca,225.016,8.16,5217,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,82,950000,200000000,1.0,1.0,199050000,11,8,8.6,209.52631578947367,1
Good Will Hunting,303.537,8.156,11889,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,126,10000000,225000000,0.8933,0.4285,215000000,12,5,8.3,21.5,1
Alien,556.806,8.153,13985,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,116,11000000,184000000,1.0,0.3529,173000000,10,6,8.5,15.727272727272727,1
Taxi Driver,483.407,8.151,11812,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,110,1300000,28000000,0.5666,0.44439999999999996,26700000,6,2,8.3,20.53846153846154,1
The Truman Show,68.606,8.139,17728,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,103,60000000,264000000,0.3333,0.75,204000000,6,3,8.1,3.4,1
Reservoir Dogs,95.474,8.128,13898,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,99,1200000,3000000,0.6667000000000001,1.0,1800000,0,0,8.4,1.5,1
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,36.174,8.123,5402,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,95,1800000,9000000,0.6667000000000001,1.0,7200000,4,0,8.5,4.0,1
Terminator 2: Judgment Day,118.303,8.114,12406,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,153,102000000,520000000,0.5,0.8571,418000000,6,4,8.5,4.098039215686274,1
Incendies,44.714,8.101,2539,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,139,6800000,6000000,0.0,0.6667000000000001,-800000,0,0,8.2,-0.11764705882352941,0
Eternal Sunshine of the Spotless Mind,62.037,8.097,14431,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,108,20000000,72000000,0.5379999999999999,0.5,52000000,17,5,8.3,2.6,1
Prisoners,70.443,8.095,11345,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,153,46000000,122000000,0.7333,0.6667000000000001,76000000,1,0,8.1,1.6521739130434783,1
WALL·E,108.467,8.088,18245,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,98,180000000,521000000,0.8055,0.6667000000000001,341000000,6,2,8.4,1.8944444444444444,1
There Will Be Blood,37.765,8.083,6360,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,158,25000000,76000000,0.6667000000000001,0.3333,51000000,14,5,8.1,2.04,1
Pride & Prejudice,64.805,8.08,7785,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,135,28000000,121000000,0.8332999999999999,0.2857,93000000,9,2,7.8,3.3214285714285716,1
2001: A Space Odyssey,526.996,8.078,11120,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,161,12000000,69000000,1.0,1.0,57000000,5,1,8.3,4.75,1
The Thing,124.231,8.059,6662,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,109,15000000,19000000,0.3333,0.5384,4000000,0,0,8.2,0.26666666666666666,0
The Grand Budapest Hotel,38.414,8.049,14399,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99,25000000,170000000,0.46659999999999996,0.2857,145000000,9,4,8.1,5.8,1
