original_title,popularity,vote_average,vote_count,Comedy,TV Movie,Family,Science Fiction,Drama,Romance,Action,War,Mystery,Music,Adventure,Crime,Horror,Animation,History,Fantasy,Western,Thriller,Running time,Budget,Box Office,Actors Box Office %,Director Box Office %,Earnings,Oscar and Golden Globes nominations,Oscar and Golden Globes awards,IMDb score,ROI,successo
Precious,31.878,7.329,1572,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109,10000000,64000000,0.6667000000000001,1.0,54000000,10,4,7.3,5.4,1
Star Trek Into Darkness,54.615,7.328,8880,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,132,190000000,467000000,1.0,1.0,277000000,0,0,7.8,1.4578947368421054,1
The Lunchbox,24.847,7.327,675,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,104,1000000,100000000,0.5555,1.0,99000000,0,0,7.8,99.0,1
The Kite Runner,17.413,7.326,1112,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,128,20000000,73500000,0.6667000000000001,0.7142000000000001,53500000,3,0,7.6,2.675,1
Becoming Jane,25.223,7.326,1132,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,120,16500000,39600000,0.9047,1.0,23100000,0,0,7.1,1.4,1
Dead Man Walking,20.159,7.326,1296,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,122,11000000,83000000,0.6667000000000001,0.5,72000000,5,4,7.6,6.545454545454546,1
Gangs of New York,65.725,7.325,6407,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,216,100000000,194000000,0.2666,0.44439999999999996,94000000,16,2,7.5,0.94,1
Dawn of the Planet of the Apes,365.507,7.3,10960,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,130,170000000,711000000,0.4777,0.5,541000000,1,0,7.6,3.1823529411764704,1
The Hangover,130.348,7.321,16402,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,35000000,467000000,0.61,0.7142000000000001,432000000,5,2,7.8,12.342857142857143,1
Funny Games,34.821,7.3,1735,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,111,15000000,21000000,0.22219999999999998,0.3333,6000000,0,0,6.5,0.4,0
Dark City,489.3,7.321,2698,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,111,27000000,27000000,0.4,0.6,0,0,0,7.7,0.0,0
The Bourne Supremacy,30.341,7.321,7259,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,108,75000000,291000000,0.8889,0.8571,216000000,0,0,7.8,2.88,1
Finding Neverland,25.875,7.321,3460,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,101,25000000,116000000,0.6892,0.7142000000000001,91000000,11,2,7.8,3.64,1
The Hobbit: The Battle of the Five Armies,136.606,7.318,13843,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,164,250000000,956000000,0.9167000000000001,0.7272,706000000,1,0,7.5,2.824,1
Brothers,56.521,7.318,3441,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,105,26000000,40000000,0.5111,0.0,14000000,2,0,7.1,0.5384615384615384,0
RoboCop,499.626,7.318,4903,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,117,100000000,242000000,0.5333,0.6667000000000001,142000000,0,0,6.2,1.42,0
RoboCop,499.626,7.318,4903,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,117,100000000,242000000,0.5333,0.6667000000000001,142000000,1,0,6.2,1.42,0
Pay It Forward,17.789,7.317,1708,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,123,40000000,51000000,0.25,0.6667000000000001,11000000,0,0,7.2,0.275,0
Rise of the Planet of the Apes,258.598,7.3,11453,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,105,93000000,481000000,0.8889,0.3333,388000000,1,0,7.6,4.172043010752688,1
Brooklyn,241.895,7.315,3011,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,111,11000000,62000000,1.0,1.0,51000000,13,4,7.5,4.636363636363637,1
The Judge,65.892,7.313,3932,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,141,50000000,84700000,0.5714,0.0,34700000,0,0,7.4,0.694,0
Carrie,114.637,7.313,3662,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,100,30000000,84000000,0.77,0.5,54000000,0,0,5.9,1.8,0
Carrie,114.637,7.313,3662,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,100,30000000,84000000,0.77,0.5,54000000,0,0,5.9,1.8,0
Lord of War,41.35,7.312,4581,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,122,50000000,72000000,0.3333,0.25,22000000,1,0,7.6,0.44,0
War Horse,26.248,7.309,3297,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,146,66000000,177000000,0.77,0.846,111000000,6,0,7.2,1.6818181818181819,1
The Evil Dead,41.013,7.309,3812,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,96,375000,2300000,1.0,0.615,1925000,0,0,7.6,5.133333333333334,1
Patch Adams,25.941,7.306,3110,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,115,50000000,202000000,0.8266,0.6667000000000001,152000000,0,0,6.7,3.04,0
Woman in Gold,12.621,7.305,1350,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109,11000000,61000000,0.8332999999999999,1.0,50000000,1,0,7.3,4.545454545454546,1
Bridge to Terabithia,55.385,7.305,4588,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,96,17000000,138000000,0.8332999999999999,1.0,121000000,0,0,7.2,7.117647058823529,1
Woman in Gold,12.621,7.305,1350,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109,11000000,61000000,0.8332999999999999,1.0,50000000,1,0,7.3,4.545454545454546,1
Bridge to Terabithia,55.385,7.305,4588,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,96,17000000,138000000,0.8332999999999999,1.0,121000000,0,0,7.2,7.117647058823529,1
The Hundred-Foot Journey,17.245,7.303,1389,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,122,22000000,89500000,1.0,0.5555,67500000,1,0,7.3,3.0681818181818183,1
True Grit,84.404,7.303,5085,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,110,38000000,252000000,0.8889,0.7142000000000001,214000000,10,2,7.7,5.631578947368421,1
Robin Hood,51.126,7.303,4202,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,156,200000000,323000000,0.1777,0.3529,123000000,0,0,6.7,0.615,0
From Here to Eternity,20.785,7.303,600,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,118,1650000,30000000,1.0,1.0,28350000,18,8,7.8,17.181818181818183,1
Total Recall,290.59,7.302,5557,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,113,65000000,261000000,1.0,0.5,196000000,0,0,7.5,3.0153846153846153,1
Total Recall,290.59,7.302,5557,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,113,65000000,198000000,1.0,0.5,133000000,0,0,7.5,2.046153846153846,1
Source Code,55.629,7.301,8043,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,93,32000000,147000000,0.5111,0.6667000000000001,115000000,0,0,7.5,3.59375,1
Crossroads,30.127,7.3,403,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,93,12000000,61000000,1.0,1.0,49000000,0,0,3.3,4.083333333333333,0
Crossroads,30.127,7.3,403,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,93,12000000,61000000,1.0,1.0,49000000,0,0,3.3,4.083333333333333,0
Airplane!,49.565,7.3,4305,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,3500000,83000000,1.0,1.0,79500000,0,1,7.8,22.714285714285715,1
X-Men: First Class,2.395,7.298,12400,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,132,160000000,354000000,0.708,0.75,194000000,0,0,7.8,1.2125,1
Star Trek: First Contact,58.471,7.299,1687,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,111,45000000,150000000,0.22219999999999998,0.5,105000000,1,0,7.6,2.3333333333333335,1
Frost/Nixon,18.082,7.295,1131,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,122,25000000,27000000,0.5555,0.615,2000000,5,1,7.7,0.08,0
The Illusionist,37.07,7.296,4741,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,110,16000000,87000000,1.0,0.75,71000000,7,0,7.6,4.4375,1
Spider-Man,137.75,7.295,18434,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,121,139000000,821000000,0.675,0.615,682000000,3,0,7.3,4.906474820143885,1
Indiana Jones and the Temple of Doom,47.802,7.295,8945,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,118,28000000,333000000,0.8332999999999999,0.846,305000000,11,5,7.6,10.892857142857142,1
The Hours,36.449,7.294,1622,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,114,25000000,41000000,0.25,0.25,16000000,9,1,7.6,0.64,0
The Conjuring 2,63.091,7.293,8117,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,134,40000000,320000000,0.8332999999999999,0.8571,280000000,0,0,7.8,7.0,1
Pitch Perfect,42.517,7.291,6394,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,112,17000000,115000000,1.0,1.0,98000000,0,0,7.2,5.764705882352941,1
They Live,45.742,7.292,2893,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,93,4000000,13000000,0.8332999999999999,0.5384,9000000,0,0,7.3,2.25,1
Assault on Precinct 13,9.833,7.29,1025,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,109,20000000,35200000,0.3333,0.0,15200000,0,0,6.3,0.76,0
A Single Man,13.705,7.3,1487,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,99,7000000,25100000,0.77,1.0,18100000,5,1,7.6,2.585714285714286,1
The Texas Chain Saw Massacre,37.392,7.285,3105,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,88,83532,30700000,1.0,0.5714,30616468,0,0,7.5,366.52382320547815,1
Little Women,40.102,7.283,1172,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,115,15000000,5000000,0.5714,0.0,-10000000,3,0,7.3,-0.6666666666666666,0
The Jungle Book,56.81,7.283,6045,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,106,175000000,967000000,0.5,0.7142000000000001,792000000,1,0,7.8,4.525714285714286,1
The Jungle Book,56.81,7.283,6045,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,106,175000000,966000000,0.5,0.7142000000000001,791000000,1,0,7.8,4.52,1
Deconstructing Harry,19.012,7.283,922,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,96,20000000,4500000,0.0,0.2857,-15500000,1,0,7.4,-0.775,0
The Prince of Egypt,49.287,7.3,3819,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,99,70000000,218000000,0.77,1.0,148000000,1,1,7.0,2.1142857142857143,1
Kung Fu Panda,107.226,7.281,11229,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,92,130000000,632000000,0.8889,0.5,502000000,2,1,7.6,3.8615384615384616,1
The Fisher King,17.706,7.281,1279,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,137,24000000,41800000,0.22219999999999998,0.4285,17800000,5,2,7.6,0.7416666666666667,0
Clueless,164.895,7.278,4222,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,97,12000000,88000000,0.6667000000000001,0.5,76000000,0,0,6.8,6.333333333333333,0
Stardust,35.671,7.277,3917,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,127,70000000,137000000,0.38880000000000003,0.75,67000000,0,0,7.7,0.9571428571428572,1
Videodrome,52.704,7.277,2094,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,89,5952000,2300000,0.0,0.14279999999999998,-3652000,0,0,7.3,-0.6135752688172043,0
Argo,34.142,7.275,8053,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,130,44500000,232000000,0.44,1.0,187500000,7,3,7.7,4.213483146067416,1
The Ladykillers,18.842,7.275,445,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,104,35000000,76000000,0.608,0.7142000000000001,41000000,0,0,6.2,1.1714285714285715,0
Moneyball,44.352,7.274,4918,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,133,50000000,110000000,0.7111,1.0,60000000,6,0,7.6,1.2,1
Avengers: Age of Ultron,119.293,7.273,22460,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,141,250000000,1405000000,0.9047,0.75,1155000000,1,0,7.5,4.62,1
The Equalizer,135.471,7.272,8729,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,132,55000000,192000000,1.0,0.5,137000000,0,0,7.2,2.4909090909090907,1
Stranger Than Fiction,16.842,7.272,2197,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,113,38000000,54000000,0.3333,0.7142000000000001,16000000,2,0,7.6,0.42105263157894735,0
Spider-Man 2,31.533,7.272,14667,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,135,200000000,788000000,0.675,0.615,588000000,3,1,7.3,2.94,1
Lights Out,9.104,7.269,348,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,81,4900000,150000000,0.8889,1.0,145100000,0,0,6.9,29.612244897959183,0
Shrek 2,167.56,7.268,11881,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,93,150000000,935000000,0.8332999999999999,0.75,785000000,2,1,7.2,5.233333333333333,1
Bloody Sunday,16.445,7.268,302,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,107,2000000,5000000,1.0,0.8571,3000000,2,0,7.7,1.5,1
Cape Fear,33.985,7.268,3306,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,128,35000000,78000000,0.4,0.44439999999999996,43000000,3,0,7.3,1.2285714285714286,1
Leaving Las Vegas,22.861,7.262,1374,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,111,3600000,32000000,0.8332999999999999,0.5,28400000,9,5,7.6,7.888888888888889,1
Notting Hill,171.834,7.261,5839,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,124,42000000,365000000,0.3333,0.6667000000000001,323000000,3,3,7.0,7.690476190476191,1
Zombieland,65.818,7.26,11909,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,88,23600000,102000000,0.6667000000000001,0.3333,78400000,0,0,7.7,3.3220338983050848,1
A Christmas Story,14.397,7.259,1187,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,4000000,30000000,1.0,0.5,26000000,1,1,8.1,6.5,1
Army of Darkness,28.612,7.26,3012,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,88,13000000,21000000,0.16670000000000001,0.615,8000000,0,0,7.6,0.6153846153846154,0
Freeheld,24.291,7.3,629,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,103,7000000,7000000,0.44,0.6667000000000001,0,2,0,6.5,0.0,0
How Green Was My Valley,15.902,7.258,374,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,118,1250000,12000000,1.0,1.0,10750000,10,6,7.8,8.6,1
Man on the Moon,12.763,7.258,1700,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,118,52000000,34700000,0.0,0.6667000000000001,-17300000,2,1,7.4,-0.3326923076923077,0
West Side Story,24.599,7.257,1819,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,152,6000000,40000000,1.0,1.0,34000000,0,0,7.6,5.666666666666667,1
The Hurt Locker,29.701,7.256,5421,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,131,15000000,47000000,0.5555,0.6667000000000001,32000000,9,6,7.6,2.1333333333333333,1
Blazing Saddles,122.191,7.256,1786,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,93,2600000,86000000,1.0,0.8571,83400000,2,0,7.8,32.07692307692308,1
The Road to El Dorado,34.826,7.255,3607,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,89,95000000,76000000,0.46659999999999996,0.3333,-19000000,0,0,6.9,-0.2,0
The Phantom of the Opera,31.768,7.255,1549,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,143,70000000,154000000,0.4167,0.6667000000000001,84000000,3,0,7.4,1.2,1
The Boondock Saints,22.579,7.254,2299,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,102,7000000,30000000,0.8332999999999999,0.5,23000000,0,0,7.9,3.2857142857142856,1
The Front Page,12.563,7.253,326,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,4000000,15000000,0.77,1.0,11000000,0,0,7.3,2.75,1
Pirates of the Caribbean: At World's End,91.101,7.253,13894,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,169,300000000,963000000,0.5225,0.5714,663000000,2,0,7.1,2.21,1
Milk,19.182,7.249,2126,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,128,20000000,55000000,0.7222,0.4285,35000000,13,5,7.6,1.75,1
Safe Haven,27.863,7.248,2251,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,115,28000000,97000000,1.0,0.5555,69000000,0,0,6.7,2.4642857142857144,0
The Painted Veil,14.343,7.248,1121,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,125,19400000,26000000,0.6667000000000001,0.0,6600000,2,0,7.5,0.3402061855670103,0
Frozen,108.0,7.247,16098,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,102,150000000,1509000000,0.8889,1.0,1359000000,4,2,7.6,9.06,1
Superbad,84.18,7.247,7037,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,20000000,169000000,0.8332999999999999,1.0,149000000,0,0,7.6,7.45,1
Bicentennial Man,40.339,7.246,3508,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,132,100000000,87800000,0.6154999999999999,0.7272,-12200000,1,0,6.8,-0.122,0
Fast Five,10.87,7.246,7932,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,132,125000000,626000000,1.0,0.5,501000000,0,0,7.3,4.008,1
The Vow,48.08,7.244,3919,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,104,30000000,125000000,0.8889,1.0,95000000,0,0,6.8,3.1666666666666665,0
The Last Song,16.537,7.242,3258,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,107,20000000,89000000,0.6667000000000001,0.5,69000000,0,0,5.8,3.45,0
Driving Miss Daisy,19.401,7.239,1509,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99,7500000,145000000,1.0,0.6667000000000001,137500000,10,6,7.4,18.333333333333332,1
Begin Again,34.726,7.238,3676,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,104,8000000,63000000,0.8332999999999999,1.0,55000000,1,0,7.4,6.875,1
Skyfall,64.407,7.237,14866,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,143,200000000,1100000000,0.5,0.625,900000000,5,2,7.8,4.5,1
Skyfall,64.407,7.237,14866,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,143,200000000,1110000000,0.5,0.625,910000000,8,2,7.8,4.55,1
Furious 7,114.784,7.235,10350,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,140,190000000,540000000,0.8472,0.8571,350000000,1,0,7.2,1.8421052631578947,1
Despicable Me,101.864,7.235,14606,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,87,69000000,543000000,0.8889,1.0,474000000,0,0,7.7,6.869565217391305,1
Frequency,29.257,7.234,1707,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,118,31000000,47000000,0.5555,0.0,16000000,1,0,7.3,0.5161290322580645,0
The Damned United,11.231,7.233,608,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,98,10000000,4600000,0.3333,0.6667000000000001,-5400000,0,0,7.6,-0.54,0
Batman,114.235,7.232,7549,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,126,35000000,400000000,0.8332999999999999,0.6667000000000001,365000000,1,1,7.6,10.428571428571429,1
The Last Temptation of Christ,26.618,7.232,1018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,164,7000000,8300000,0.16670000000000001,0.44439999999999996,1300000,1,0,7.6,0.18571428571428572,0
The Aviator,49.773,7.232,5153,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,170,110000000,213000000,0.11109999999999999,0.44439999999999996,103000000,11,5,7.5,0.9363636363636364,1
Bridge of Spies,29.359,7.229,6645,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,142,40000000,165000000,0.75,0.846,125000000,6,2,7.6,3.125,1
Radio,22.869,7.226,687,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109,35000000,48000000,0.0,0.0,13000000,1,0,6.9,0.37142857142857144,0
The Outsiders,63.303,7.227,1290,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,114,10000000,25000000,0.9167000000000001,0.7272,15000000,0,0,7.2,1.5,1
The Great Debaters,15.013,7.225,590,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,126,15000000,30000000,0.5277000000000001,0.5,15000000,1,0,7.6,1.0,1
Tootsie,104.471,7.222,1673,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,116,22000000,178000000,0.5555,0.8,156000000,13,4,7.4,7.090909090909091,1
Collateral,54.697,7.222,5378,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,120,65000000,100000000,0.5555,0.3333,35000000,0,0,7.6,0.5384615384615384,0
Crash,37.968,7.219,3359,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,115,6500000,98000000,0.8889,0.6667000000000001,91500000,9,3,7.9,14.076923076923077,1
Monster,46.862,7.219,2228,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,109,4500000,60000000,0.2777,1.0,55500000,7,2,7.3,12.333333333333334,1
North Country,22.163,7.2,609,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,126,35000000,17000000,0.3333,0.6667000000000001,-18000000,1,1,7.3,-0.5142857142857142,0
Big Trouble in Little China,33.023,7.2,2855,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,99,25000000,25000000,0.3333,0.5384,0,1,0,7.3,0.0,0
A Bridge Too Far,23.28,7.214,780,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,175,26000000,50000000,0.0,0.25,24000000,0,0,7.4,0.9230769230769231,1
Midnight Run,24.955,7.212,1037,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,126,30000000,65000000,0.6,0.5,35000000,0,0,7.6,1.1666666666666667,1
Ghost,71.256,7.212,5352,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,127,22000000,505000000,0.44,0.6667000000000001,483000000,5,2,7.0,21.954545454545453,1
The Town,67.558,7.211,4857,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,150,37000000,154000000,0.8889,1.0,117000000,4,0,7.6,3.1621621621621623,1
Sherlock Holmes,61.159,7.211,13599,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,128,90000000,524000000,1.0,0.625,434000000,2,0,7.6,4.822222222222222,1
3:10 to Yuma,23.773,7.21,3450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,122,55000000,71000000,0.6667000000000001,0.75,16000000,2,0,7.8,0.2909090909090909,0
Henry V,22.412,7.209,351,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,137,9000000,10000000,0.2888,0.5555,1000000,3,1,7.7,0.1111111111111111,0
The Intern,46.67,7.208,6475,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,35000000,195000000,0.5714,1.0,160000000,0,0,7.2,4.571428571428571,1
Fear and Loathing in Las Vegas,23.92,7.208,4440,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,118,18500000,10600000,0.5447,0.4285,-7900000,0,0,7.7,-0.42702702702702705,0
2046,18.337,7.208,852,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,129,12000000,123000000,0.5111,0.6667000000000001,111000000,5,0,7.5,9.25,1
The Hunger Games,30.457,7.207,21471,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,142,78000000,694000000,0.9523,0.3333,616000000,2,0,7.3,7.897435897435898,1
Mean Girls,85.456,7.207,8445,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,97,17000000,130000000,0.77,0.5,113000000,0,0,7.0,6.647058823529412,1
Dangerous Liaisons,21.695,7.207,1118,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,119,14000000,34000000,0.44,0.5454,20000000,11,3,7.7,1.4285714285714286,1
The Princess and the Frog,77.828,7.205,5352,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,97,105000000,270000000,1.0,0.6667000000000001,165000000,3,0,7.1,1.5714285714285714,1
I Am Legend,62.322,7.205,15307,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,104,150000000,250000000,0.3333,0.8,100000000,0,0,7.2,0.6666666666666666,0
Marley & Me,31.209,7.203,4470,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,60000000,242000000,0.5,0.5,182000000,0,0,7.1,3.033333333333333,1
The Lincoln Lawyer,27.985,7.2,3118,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,118,40000000,87000000,0.77,0.6667000000000001,47000000,0,0,7.3,1.175,1
What Dreams May Come,23.174,7.199,2224,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,113,85000000,75000000,0.2266,0.0,-10000000,2,1,7.0,-0.11764705882352941,0
Mission: Impossible - Rogue Nation,88.178,7.198,8551,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,131,150000000,682000000,0.6388,0.75,532000000,2,0,7.4,3.546666666666667,1
Doubt,26.971,7.198,1620,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,104,20000000,51000000,0.37770000000000004,1.0,31000000,6,0,7.5,1.55,1
The Young Victoria,15.596,7.197,981,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,100,35000000,32000000,0.5666,0.6667000000000001,-3000000,3,1,7.3,-0.08571428571428572,0
P.S. I Love You,19.45,7.2,3221,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,126,30000000,156000000,0.5,0.25,126000000,0,0,7.1,4.2,1
